company_name,_name_key,country,region_bucket,revenue_eur_latest,ebitda_eur_latest,revenue_year,employees,industry_code,ownership_status,inactive,business_model_tags,source,stage_status
ELBEK & VEJRUP A/S,elbek vejrup a s,DK,Denmark,41552591.2243938,13406863.3677406,2025,169,6201,Private,False,,Orbis,raw
APPLIED INTERNATIONAL INFORMATICS GMBH,applied international informatics gmbh,DE,DACH,46860033.21,4887291.47,2024,148,6201,Private,False,,Orbis,raw
THEVALUECHAIN,thevaluechain,BE,Benelux,46758259.0,1052620.0,2024,109,6202,Private,False,,Orbis,raw
VIRTUAL7 GMBH,virtual7 gmbh,DE,DACH,46353295.73,3291718.2899999996,2024,133,6201,Private,False,,Orbis,raw
NORRIQ HOLDING A/S,norriq holding a s,DK,Denmark,46249605.3936546,3065051.9210816603,2024,260,6202,Private,False,,Orbis,raw
WIPRO BUSINESS SOLUTIONS GMBH,wipro business solutions gmbh,DE,DACH,44264812.489999995,11463314.37,2024,162,6202,Private,False,,Orbis,raw
FORVIS MAZARS GROUP BUSINESS SUPPORT,forvis mazars group business support,BE,Benelux,40719759.0,3150491.0,2025,n.v.,6209,Private,False,,Orbis,raw
CSB-SYSTEM SE,csb system se,DE,DACH,45441226.99,6599505.9799999995,2024,359,6201,Private,False,,Orbis,raw
ADA HEALTH GMBH,ada health gmbh,DE,DACH,45310247.629999995,1269802.55,2024,217,6201,Private,False,,Orbis,raw
ECI SOFTWARE SOLUTIONS NEDERLAND B.V.,eci software solutions nederland b v,NL,Benelux,42505986.0,2167063.0,2023,241,6202,Private,False,,Orbis,raw
HMF SMART SOLUTIONS GMBH,hmf smart solutions gmbh,DE,DACH,44806982.93,5086691.649999999,2024,161,6209,Private,False,,Orbis,raw
BRICSYS,bricsys,BE,Benelux,44651429.0,7089783.0,2024,107,6202,Private,False,,Orbis,raw
GAMELIGHT GMBH,gamelight gmbh,DE,DACH,41724619.66,14996397.91,2023,2,6201,Private,False,,Orbis,raw
ITSG INFORMATIONSTECHNISCHE SERVICESTELLE DER GESETZLICHEN KRANKENVERSICHERUNG GMBH,itsg informationstechnische servicestelle der gesetzlichen krankenversicherung gmbh,DE,DACH,44359990.01,2164102.93,2024,213,6209,Private,False,,Orbis,raw
